MODE,CALL,QSO_COUNT_80m,QSO_COUNT_40m,POINT_80m,POINT_40m,MULT_80m,MULT_40m,SCORE,POWER,COUNTY,CHECKLOG
PH,ES2R,24,41,47,81,20,31,6528,MULTI,HR,N
PH,ES3BM,34,46,68,91,21,32,8427,LOW,RP,N
PH,ES3HEA,13,20,26,35,11,14,1525,LOW,RP,N
PH,ES3MAR,10,10,19,19,8,9,646,LOW,RP,N
PH,ES3TI,65,82,130,163,40,45,24905,HIGH,RP,N
PH,ES3V,32,21,59,41,26,15,4100,LOW,RP,N
PH,ES4RD,38,61,71,115,27,36,11718,HIGH,IV,N
PH,ES5GI,15,15,29,29,13,11,1392,LOW,JG,N
PH,ES5JR,9,,16,,8,,128,LOW,TA,N
PH,ES5MJL,11,,18,,7,,126,LOW,TA,N
PH,ES5MJR,3,,3,,1,,3,LOW,TA,N
PH,ES5NY,50,65,100,128,35,39,16872,LOW,JG,N
PH,ES5QA,74,29,135,54,42,21,11907,HIGH,JG,N
PH,ES5RIM,32,30,61,58,26,23,5831,LOW,JG,N
PH,ES5TVI,41,43,77,77,27,27,8316,LOW,TA,N
PH,ES6QC,76,71,145,134,41,42,23157,HIGH,VO,N
PH,ES6RMR,69,42,136,79,38,30,14620,LOW,VC,N
PH,ES6RW,92,97,181,184,46,53,36135,HIGH,VO,N
PH,ES7A,78,77,150,144,43,42,24990,HIGH,VP,N
PH,ES7GM,105,101,207,194,55,53,43308,HIGH,VP,N
PH,ES7KEW,10,16,18,25,8,11,817,LOW,VP,N
PH,ES8TPR,17,22,33,42,14,16,2250,LOW,PU,N
PH,LA1TV,58,71,114,141,42,45,22185,HIGH,VF,N
PH,LA6CDA,28,31,56,61,23,26,5733,LOW,VF,N
PH,LA6DW,9,3,16,4,7,2,180,LOW,HO,N
PH,LA7AK,30,52,54,99,24,35,9027,HIGH,RL,N
PH,LA7TN,22,33,44,61,19,24,4515,LOW,AG,N
PH,LA7USA,8,11,15,21,7,10,612,LOW,HO,N
PH,LC2L,26,19,50,37,22,15,3219,LOW,OS,N
PH,LC5C,1,6,2,12,1,5,84,HIGH,FI,N
PH,LC5L,34,23,62,45,27,19,4922,HIGH,RL,N
PH,LY0NAS,50,28,98,53,35,21,8456,LOW,PA,N
PH,LY1DZ,22,,40,,18,,720,LOW,VV,N
PH,LY1LB,43,78,84,148,27,41,15776,LOW,KN,N
PH,LY2AT,38,30,72,56,23,21,5632,LOW,MM,N
PH,LY2AX,60,29,113,56,34,19,8957,HIGH,KN,N
PH,LY2BAA,53,,102,,32,,3264,LOW,PN,N
PH,LY2BKT,57,58,110,114,36,37,16352,LOW,SI,N
PH,LY2CX,78,86,151,166,44,47,28847,HIGH,KI,N
PH,LY2K,34,47,34,47,0,0,81,LOW,AT,N
PH,LY2MC,44,50,80,97,28,34,10974,LOW,TI,N
PH,LY2MM,63,55,124,109,39,38,17941,LOW,KM,N
PH,LY2N,26,40,51,79,18,28,5980,LOW,KM,N
PH,LY2TS,63,56,126,110,40,35,17700,LOW,TI,N
PH,LY2VO,40,40,66,71,23,28,6987,LOW,SI,N
PH,LY3AB,33,48,65,93,25,34,9322,LOW,TI,N
PH,LY3DA,29,,58,,23,,1334,LOW,KN,N
PH,LY3IZ,39,31,76,59,26,21,6345,LOW,UT,N
PH,LY3LT,37,40,64,76,22,26,6720,LOW,VV,N
PH,LY3NX,57,50,103,98,29,30,11859,LOW,UT,N
PH,LY4AU,5,6,10,11,5,6,231,LOW,VU,N
PH,LY4K,14,27,28,53,7,19,2106,LOW,KM,N
PH,LY4L,63,56,125,108,39,35,17242,LOW,KN,N
PH,LY4LA,27,23,49,34,16,11,2241,LOW,KD,N
PH,LY4NZ,26,47,49,86,17,28,6075,LOW,VU,N
PH,LY4Q,14,50,28,99,13,33,5842,LOW,VU,N
PH,LY5GT,51,45,96,85,31,29,10860,LOW,VV,N
PH,LY5O,91,86,175,169,51,45,33024,HIGH,KM,N
PH,LY5T,,37,,73,,28,2044,LOW,AT,N
PH,LY5W,75,90,147,176,44,52,31008,HIGH,KN,N
PH,LY5YY,47,61,92,119,34,36,14770,LOW,KM,N
PH,LY6C,60,67,114,133,38,40,19266,LOW,KI,N
PH,LY7M,91,90,177,178,51,49,35500,HIGH,UT,N
PH,LY7T,70,69,136,131,40,37,20559,HIGH,TI,N
PH,LY9A,80,64,156,123,46,41,24273,LOW,PA,N
PH,OG5O,52,38,100,73,37,28,11245,HIGH,UU,N
PH,OG6B,4,35,8,68,4,25,2204,HIGH,PH,N
PH,OH1F,89,87,167,168,48,52,33500,HIGH,SA,N
PH,OH1NA,34,40,65,79,27,31,8352,LOW,SA,N
PH,OH1NHW,4,,8,,4,,32,LOW,VA,N
PH,OH1PG,13,12,25,24,11,11,1078,LOW,VA,N
PH,OH1TD,4,,6,,3,,18,LOW,SA,N
PH,OH2KW,53,63,100,119,31,39,15330,HIGH,UU,N
PH,OH3MC,35,29,65,53,26,21,5546,LOW,KT,N
PH,OH3MZ,3,20,6,38,3,16,836,LOW,PM,N
PH,OH3UAI,27,31,54,62,22,21,4988,LOW,UU,N
PH,OH5LLR,1,11,1,19,0,10,200,HIGH,UU,N
PH,OH6AD,7,,14,,6,,84,LOW,KE,N
